#X,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
CSR070+1.p,2,79,81,149,426,1,22,2,79,0,0,17,1,17,22,0.227273,0.772727,3,3,3,2,1,H,H,N,M,N,3,3,S,M
CSR071+1.p,2,71,73,142,386,1,17,2,71,0,0,14,1,14,17,0.176471,0.823529,1,1,1,2,1,H,H,N,S,N,1,1,S,M
CSR085+4.p,423,7926,8349,21513,76304,1,4492,423,7600,896,16,4471,1,4471,4520,0.004675,0.989159,9,1,1184,5,1,G,H,S,M,N,3,1,L,M
CSR103+5.p,746,19462,20208,48559,168154,2,11411,746,18944,1313,22,11390,2,11390,11439,0.00184,0.995716,9,1,2516,5,1,G,H,S,M,N,3,1,L,M
ALG385-1.p,28,1006,1034,2839,15052,7,158,28,878,398,51,116,4,116,163,0.265823,0.711656,4,2,71,6,1,G,H,S,M,N,3,2,L,D
ALG406-1.p,27,651,678,1761,8771,4,140,27,581,248,23,127,3,127,142,0.092857,0.894366,3,1,43,5,1,G,H,S,M,N,3,1,L,M
CAT003-3.p,1,20,21,41,155,1,6,1,18,13,7,3,1,3,8,0.5,0.375,2,1,6,3,1,G,U,S,S,G,2,1,M,M
CAT003-4.p,1,15,16,28,113,1,6,1,15,10,6,3,1,3,6,0.5,0.5,2,1,4,3,1,H,U,S,S,G,2,1,S,M
CSR027+2.p,10,1123,1133,1967,5334,3,344,10,1123,0,0,277,0,277,344,0.194767,0.805233,4,1,33,4,1,H,H,N,M,N,3,1,L,M
CSR038+2.p,10,1123,1133,1967,5334,3,344,10,1123,0,0,277,0,277,344,0.194767,0.805233,4,1,33,4,1,H,H,N,M,N,3,1,L,M
CSR066+2.p,10,1123,1133,1967,5338,3,344,10,1123,0,0,277,0,277,344,0.194767,0.805233,4,1,33,4,1,H,H,N,M,N,3,1,L,M
FLD002-3.p,2,28,30,81,276,2,5,2,25,0,0,5,2,5,5,0,1,2,1,6,2,1,G,U,N,F,G,2,1,M,M
FLD023-1.p,2,29,31,77,261,2,5,2,26,0,0,5,2,5,5,0,1,2,1,6,3,1,G,U,N,F,G,2,1,M,M
FLD037-1.p,3,29,32,78,264,3,5,3,26,0,0,5,3,5,5,0,1,2,1,6,3,1,G,U,N,F,G,2,1,M,M
GEO030-2.p,5,18,23,61,306,5,6,5,13,9,2,3,5,3,6,0.5,0.5,6,5,25,2,1,G,U,S,S,G,3,3,L,M
GRP039-6.p,1,21,22,48,169,1,8,1,19,0,0,4,1,4,10,0.5,0.4,2,1,3,2,1,G,U,N,M,G,2,1,S,M
GRP624+1.p,11,107,118,340,1236,7,46,11,78,14,2,33,7,33,46,0.282609,0.717391,6,2,50,4,1,G,H,S,M,N,3,2,L,M
GRP632+1.p,11,132,143,336,1159,6,69,11,111,11,1,32,7,32,69,0.536232,0.463768,6,1,42,4,1,G,H,S,M,N,3,1,L,M
HEN010-2.p,1,21,22,48,173,1,10,1,21,4,1,3,1,3,10,0.7,0.3,2,2,2,2,1,H,U,S,M,G,2,2,S,M
HEN010-7.p,1,20,21,44,158,1,10,1,20,3,1,3,1,3,10,0.7,0.3,2,2,2,2,1,H,U,S,M,G,2,2,S,M
HWV016-1.p,10,84,94,373,1244,4,6,10,20,45,5,4,2,4,12,0.333333,0.333333,2,1,8,3,1,G,H,S,S,N,2,1,M,M
KLE009+3.p,1,24,25,41,224,0,13,1,23,20,11,2,1,2,14,0.846154,0.142857,2,1,6,6,1,G,H,S,M,G,2,1,M,D
LAT362+1.p,11,240,251,815,2586,8,44,11,149,11,0,39,8,39,96,0.113636,0.40625,5,1,64,3,1,G,H,S,M,N,3,1,L,M
LCL163-1.p,1,11,12,12,114,1,11,1,11,12,12,1,1,1,11,0.909091,0.090909,2,2,4,6,2,U,U,P,M,G,2,2,S,D
LCL193-1.p,1,8,9,14,94,1,5,1,8,0,0,0,1,0,5,1,0,2,1,3,5,3,H,U,N,M,G,2,1,S,M
LCL224-1.p,1,8,9,14,96,1,5,1,8,0,0,0,1,0,5,1,0,2,1,3,6,3,H,U,N,M,G,2,1,S,D
LCL225-1.p,1,8,9,14,99,1,5,1,8,0,0,0,1,0,5,1,0,2,1,3,6,3,H,U,N,M,G,2,1,S,D
LCL227-1.p,1,8,9,14,102,1,5,1,8,0,0,0,1,0,5,1,0,2,1,3,6,3,H,U,N,M,G,2,1,S,D
LCL759-1.p,40,595,635,1443,10448,23,131,40,509,372,151,44,2,44,146,0.664122,0.30137,5,1,58,12,1,G,H,S,M,N,3,1,L,D
LCL836-1.p,37,586,623,1374,9343,24,145,37,533,331,153,39,2,39,156,0.731034,0.25,5,2,96,9,1,G,H,S,M,N,3,2,L,D
NUM492+3.p,8,217,225,1625,6829,5,27,8,63,194,15,27,5,27,27,0,1,3,2,26,3,1,G,H,S,F,N,3,2,L,M
NUM538+1.p,8,60,68,253,794,1,7,8,45,35,1,7,1,7,7,0,1,3,1,16,4,1,G,H,S,F,N,3,1,M,M
NUM538+2.p,9,64,73,264,834,1,8,9,48,37,1,8,1,8,8,0,1,3,1,16,4,1,G,H,S,F,N,3,1,M,M
RNG006-1.p,1,24,25,61,256,1,10,1,24,2,0,4,1,4,10,0.6,0.4,2,1,5,2,1,H,U,S,M,G,2,1,M,M
RNG038-1.p,2,19,21,55,223,2,7,2,19,5,2,1,2,1,7,0.857143,0.142857,2,1,7,2,1,H,U,S,M,G,2,1,M,M
SET041-3.p,5,158,163,418,1952,2,11,5,138,50,1,5,1,5,24,0.545455,0.208333,5,1,87,6,1,G,H,S,M,N,3,1,L,D
SET234-6.p,3,94,97,203,2472,1,21,3,86,30,7,12,1,12,24,0.428571,0.5,3,1,26,25,2,G,H,S,M,N,3,1,L,D
SEU020+1.p,7,55,62,117,316,4,29,7,53,6,3,19,3,19,30,0.344828,0.633333,2,1,9,3,1,G,H,S,M,N,2,1,M,M
SEU031+1.p,7,66,73,145,391,4,34,7,64,10,3,27,3,27,35,0.205882,0.771429,2,1,10,3,1,G,H,S,M,N,2,1,M,M
SEU032+1.p,7,63,70,143,379,4,30,7,61,8,1,23,3,23,31,0.233333,0.741935,2,1,10,3,1,G,H,S,M,N,2,1,M,M
SEU034+1.p,7,62,69,138,375,4,30,7,60,10,3,20,3,20,31,0.333333,0.645161,2,1,10,3,1,G,H,S,M,N,2,1,M,M
SEU171+2.p,19,163,182,422,1901,8,27,19,128,102,20,5,4,5,48,0.814815,0.104167,4,2,68,4,1,G,H,S,M,N,3,2,L,M
SEU174+1.p,6,29,35,80,323,3,8,6,24,11,2,4,2,4,10,0.5,0.4,3,1,13,3,1,G,H,S,M,N,3,1,M,M
SEU215+1.p,8,45,53,122,367,6,21,8,42,9,2,19,3,19,21,0.095238,0.904762,2,1,9,3,1,G,H,S,S,N,2,1,M,M
SEU221+1.p,5,67,72,257,810,3,24,5,55,21,0,23,3,23,24,0.041667,0.958333,2,1,18,4,1,G,H,S,F,N,2,1,M,M
SEU223+2.p,22,409,431,1360,6167,9,54,22,326,237,26,26,3,26,77,0.518519,0.337662,5,2,212,5,1,G,H,S,M,N,3,2,L,M
SEU268+1.p,7,71,78,143,455,4,41,7,66,14,4,34,3,34,41,0.170732,0.829268,2,1,17,4,1,G,H,S,M,N,2,1,M,M
SEU327+1.p,7,94,101,216,659,4,19,7,91,13,4,12,3,12,20,0.368421,0.6,3,1,19,3,1,G,H,S,M,N,3,1,M,M
SEU328+1.p,7,94,101,216,659,4,19,7,91,13,4,12,3,12,20,0.368421,0.6,3,1,19,3,1,G,H,S,M,N,3,1,M,M
SEU371+2.p,63,3180,3243,15413,72458,37,350,63,1346,1685,42,187,20,193,420,0.465714,0.459524,7,2,1235,5,1,G,H,S,M,N,3,2,L,M
SEU407+1.p,9,59,68,156,595,6,18,9,53,21,6,8,6,8,19,0.555556,0.421053,6,2,30,4,1,G,H,S,M,N,3,2,L,M
SEU413+1.p,5,42,47,93,356,2,19,5,41,8,3,12,2,12,19,0.368421,0.631579,2,1,18,3,1,G,H,S,M,N,2,1,M,M
SEU451+1.p,6,64,70,116,429,3,37,6,61,7,1,11,2,11,38,0.702703,0.289474,6,2,27,3,1,G,H,S,M,N,3,2,L,M
SWV221+1.p,5,212,217,868,5178,4,57,5,101,140,27,40,4,40,74,0.298246,0.540541,7,3,130,9,1,G,H,S,M,N,3,3,L,D
SWV239-1.p,48,1351,1399,2644,9030,42,184,48,1317,148,107,123,10,123,192,0.331522,0.640625,6,2,333,4,1,G,H,S,M,N,3,2,L,M
SWV541-1.004.p,1,3,4,5,847,1,2,1,2,4,4,0,1,0,3,1,0,3,2,5,13,4,G,U,P,S,G,3,2,M,D
SWV545-1.004.p,1,3,4,5,2455,1,2,1,2,4,4,0,1,0,3,1,0,3,2,7,15,4,G,U,P,S,G,3,2,M,D
SWV596-1.p,35,1218,1253,3462,18782,8,178,35,1067,570,73,127,6,127,184,0.286517,0.690217,3,2,60,6,1,G,H,S,M,N,3,2,L,D
SWV616-1.p,32,1009,1041,3009,15654,9,153,32,862,436,32,140,4,140,156,0.084967,0.897436,3,2,41,6,1,G,H,S,M,N,3,2,L,D
SWV854-1.p,95,662,757,1624,10781,81,142,95,588,415,200,34,2,34,158,0.760563,0.21519,10,3,134,6,1,G,H,S,M,N,3,3,L,D
SWV907-1.p,74,476,550,1043,7920,70,140,74,435,315,208,30,1,30,155,0.785714,0.193548,10,2,122,6,1,G,H,S,M,N,3,2,L,D
SWW271+1.p,67,1553,1620,4285,27441,25,245,67,1292,824,148,154,8,154,285,0.371429,0.540351,5,2,148,9,1,G,H,S,M,N,3,2,L,D
SWW277+1.p,68,1552,1620,4281,27387,27,247,68,1289,823,151,162,10,162,288,0.34413,0.5625,5,2,145,9,1,G,H,S,M,N,3,2,L,D
SYN562-1.p,1,15,16,29,141,1,6,1,15,0,0,4,0,4,6,0.333333,0.666667,1,1,6,19,1,H,U,N,S,N,1,1,M,D
SYN567-1.p,4,15,19,36,176,4,3,4,14,0,0,0,4,0,3,1,0,1,1,5,6,1,G,U,N,S,G,1,1,M,D
SYN574-1.p,1,21,22,51,183,0,8,1,20,0,0,2,0,2,8,0.75,0.25,2,1,5,3,1,G,H,N,M,N,2,1,M,M
SYN575-1.p,1,21,22,51,183,0,8,1,20,0,0,2,0,2,8,0.75,0.25,2,1,5,3,1,G,H,N,M,N,2,1,M,M
SYN588-1.p,2,24,26,51,310,2,10,2,24,0,0,8,2,8,10,0.2,0.8,2,1,15,9,1,H,U,N,S,G,2,1,M,D
SYN589-1.p,2,24,26,51,310,2,10,2,24,0,0,8,2,8,10,0.2,0.8,2,1,15,9,1,H,U,N,S,G,2,1,M,D
SYN593-1.p,4,23,27,57,312,4,6,4,21,0,0,2,4,2,7,0.666667,0.285714,2,1,12,7,1,G,U,N,M,G,2,1,M,D
SYN595-1.p,4,23,27,62,406,1,7,4,22,0,0,5,1,5,7,0.285714,0.714286,2,1,15,9,1,G,H,N,S,N,2,1,M,D
SYN602-1.p,1,29,30,77,340,0,7,1,29,0,0,6,0,6,7,0.142857,0.857143,2,1,13,4,1,H,H,N,F,N,2,1,M,M
SYN603-1.p,1,29,30,77,346,0,7,1,29,0,0,6,0,6,7,0.142857,0.857143,2,1,13,4,1,H,H,N,F,N,2,1,M,M
SYN613-1.p,1,30,31,70,294,1,9,1,29,0,0,3,1,3,9,0.666667,0.333333,2,1,12,5,1,G,U,N,M,G,2,1,M,M
SYN620-1.p,4,30,34,72,294,4,9,4,29,0,0,2,4,2,9,0.777778,0.222222,2,1,14,6,1,G,U,N,M,G,2,1,M,D
SYN630-1.p,1,35,36,101,669,1,8,1,33,0,0,4,1,4,8,0.5,0.5,2,1,25,9,1,G,U,N,M,G,2,1,L,D
SYN633-1.p,2,38,40,102,516,2,7,2,30,0,0,0,2,0,11,1,0,3,2,26,4,1,G,U,N,M,G,3,2,L,M
SYN634-1.p,2,38,40,102,516,2,7,2,30,0,0,0,2,0,11,1,0,3,2,26,4,1,G,U,N,M,G,3,2,L,M
SYN635-1.p,2,38,40,102,516,2,7,2,30,0,0,0,2,0,11,1,0,3,2,26,4,1,G,U,N,M,G,3,2,L,M
SYN636-1.p,2,38,40,102,516,2,7,2,30,0,0,0,2,0,11,1,0,3,2,26,4,1,G,U,N,M,G,3,2,L,M
SYN646-1.p,2,42,44,85,555,2,20,2,42,0,0,15,2,15,20,0.25,0.75,2,1,13,27,2,H,U,N,M,G,2,1,M,D
SYN647-1.p,2,42,44,85,555,2,20,2,42,0,0,15,2,15,20,0.25,0.75,2,1,13,27,2,H,U,N,M,G,2,1,M,D
SYN648-1.p,1,43,44,107,411,1,15,1,42,0,0,2,1,2,15,0.866667,0.133333,2,2,20,6,1,G,U,N,M,G,2,2,M,D
SYN657-1.p,3,47,50,108,510,2,18,3,44,0,0,11,2,11,19,0.388889,0.578947,3,1,25,7,1,G,H,N,M,N,3,1,L,D
SYN659-1.p,2,49,51,107,430,2,20,2,47,0,0,10,2,10,20,0.5,0.5,2,1,15,4,1,G,U,N,M,G,2,1,M,M
SYN704-1.p,1,79,80,178,738,1,28,1,79,0,0,2,0,2,28,0.928571,0.071429,2,2,40,8,1,H,U,N,M,N,2,2,L,D
ALG129+1.p,156,2806,2962,16970,85606,124,22,156,634,2962,242,22,156,154,154,0,1,2,1,8,3,2,G,H,S,F,G,2,1,M,M
ALG216+2.p,160,7065,7225,50368,273925,89,776,160,3151,4008,264,499,70,668,1087,0.356959,0.614535,9,2,2273,8,1,G,H,S,M,N,3,2,L,D
ALG342-1.p,19,546,565,1734,8368,2,90,19,440,155,4,85,1,85,93,0.055556,0.913978,3,2,36,4,1,G,H,S,M,N,3,2,L,M
ALG419-1.p,51,947,998,2540,12939,21,173,51,812,414,44,149,8,149,185,0.138728,0.805405,3,2,49,8,1,G,H,S,M,N,3,2,L,D
ANA010-1.p,85,2694,2779,6113,30294,48,592,85,2446,1045,546,171,9,171,656,0.711149,0.260671,18,2,551,8,1,G,H,S,M,N,3,2,L,D
ANA025-1.p,87,2713,2800,6165,30585,49,592,87,2464,1054,546,171,11,171,656,0.711149,0.260671,18,2,551,8,1,G,H,S,M,N,3,2,L,D
ANA029-1.p,87,2713,2800,6165,30585,49,592,87,2464,1054,546,171,11,171,656,0.711149,0.260671,18,2,551,8,1,G,H,S,M,N,3,2,L,D
COL006-5.p,1,3,4,4,70,1,3,1,3,4,4,1,1,1,3,0.666667,0.333333,2,2,2,8,3,U,U,P,S,G,2,2,S,D
COL006-7.p,1,3,4,4,62,1,3,1,3,4,4,1,1,1,3,0.666667,0.333333,2,2,2,8,3,U,U,P,S,G,2,2,S,D
COL123-1.p,47,1326,1373,2586,8808,40,185,47,1298,140,99,126,9,126,193,0.318919,0.65285,6,3,325,4,1,G,H,S,M,N,3,3,L,M
CSR032+5.p,9652,530592,540244,920052,2635326,1566,166679,9652,530592,12,0,158322,315,158322,166679,0.050138,0.949862,5,1,3216,8,1,H,H,S,M,N,3,1,L,D
CSR033+3.p,75,7932,8007,13037,37602,32,3250,75,7932,0,0,2786,2,2786,3250,0.142769,0.857231,4,1,187,6,1,H,H,N,M,N,3,1,L,D
CSR040+5.p,9651,530593,540244,920052,2635327,1565,166680,9651,530593,12,0,158323,315,158323,166680,0.050138,0.949862,5,1,3216,8,1,H,H,S,M,N,3,1,L,D
CSR045+5.p,9651,530592,540243,920051,2635322,1565,166679,9651,530592,12,0,158322,315,158322,166679,0.050138,0.949862,5,1,3216,8,1,H,H,S,M,N,3,1,L,D
CSR057+5.p,9652,530592,540244,920052,2635324,1566,166679,9652,530592,12,0,158322,315,158322,166679,0.050138,0.949862,5,1,3216,8,1,H,H,S,M,N,3,1,L,D
CSR075+3.p,1455,159545,161000,309880,1108188,8,130175,1455,158479,9535,43,130154,6,130154,130206,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR076+3.p,1455,159551,161006,309891,1108221,8,130180,1455,158485,9535,43,130159,7,130159,130211,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR077+3.p,1454,159546,161000,309880,1108188,7,130176,1454,158480,9535,43,130155,6,130155,130207,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR081+3.p,1455,159549,161004,309885,1108203,7,130179,1455,158483,9535,43,130158,7,130158,130210,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR082+3.p,1455,159545,161000,309881,1108193,7,130175,1455,158479,9535,43,130154,6,130154,130206,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR086+3.p,1455,159545,161000,309880,1108189,8,130175,1455,158479,9535,43,130154,6,130154,130206,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR090+3.p,1455,159549,161004,309884,1108200,8,130179,1455,158483,9535,43,130158,7,130158,130210,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR104+3.p,1455,159549,161004,309884,1108200,8,130179,1455,158483,9535,43,130158,7,130158,130210,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR106+3.p,1454,159552,161006,309886,1108206,7,130182,1454,158486,9535,43,130161,6,130161,130213,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR107+3.p,1455,159554,161009,309890,1108218,7,130184,1455,158488,9535,43,130163,7,130163,130215,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D
CSR112+1.p,1,10536,10537,11434,35176,0,10227,1,10536,0,0,10225,0,10225,10227,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+11.p,1,10542,10543,11435,35164,0,10233,1,10542,0,0,10231,0,10231,10233,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+12.p,1,10515,10516,11408,35084,0,10206,1,10515,0,0,10204,0,10204,10206,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+13.p,1,10591,10592,11485,35311,0,10282,1,10591,0,0,10280,0,10280,10282,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+17.p,1,10526,10527,11419,35116,0,10217,1,10526,0,0,10215,0,10215,10217,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+20.p,1,10547,10548,11440,35179,0,10238,1,10547,0,0,10236,0,10236,10238,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+21.p,1,10526,10527,11419,35118,0,10217,1,10526,0,0,10215,0,10215,10217,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+22.p,1,10632,10633,11525,35441,0,10323,1,10632,0,0,10321,0,10321,10323,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+27.p,1,10535,10536,11428,35158,0,10226,1,10535,0,0,10224,0,10224,10226,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+29.p,1,10557,10558,11450,35213,0,10248,1,10557,0,0,10246,0,10246,10248,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+30.p,1,10557,10558,11450,35213,0,10248,1,10557,0,0,10246,0,10246,10248,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+31.p,1,10559,10560,11452,35216,0,10250,1,10559,0,0,10248,0,10248,10250,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+4.p,1,10562,10563,11455,35225,0,10253,1,10562,0,0,10251,0,10251,10253,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+5.p,1,10586,10587,11479,35303,0,10277,1,10586,0,0,10275,0,10275,10277,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+8.p,1,10624,10625,11517,35426,0,10315,1,10624,0,0,10313,0,10313,10315,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR113+9.p,1,10628,10629,11521,35432,0,10319,1,10628,0,0,10317,0,10317,10319,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR114+24.p,1,10646,10647,11540,35511,0,10337,1,10646,0,0,10335,0,10335,10337,0.000193,0.999807,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR114+28.p,1,10504,10505,11398,35053,0,10195,1,10504,0,0,10193,0,10193,10195,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR114+30.p,1,10479,10480,11373,34978,0,10170,1,10479,0,0,10168,0,10168,10170,0.000197,0.999803,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR114+8.p,1,10476,10477,11370,34966,0,10167,1,10476,0,0,10165,0,10165,10167,0.000197,0.999803,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+10.p,1,10616,10617,11514,35415,0,10307,1,10616,0,0,10305,0,10305,10307,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+100.p,1,10571,10572,11467,35276,0,10262,1,10571,0,0,10260,0,10260,10262,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+11.p,1,10645,10646,11546,35502,0,10336,1,10645,0,0,10334,0,10334,10336,0.000193,0.999807,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+12.p,1,10647,10648,11544,35495,0,10338,1,10647,0,0,10336,0,10336,10338,0.000193,0.999807,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+14.p,1,10596,10597,11494,35361,0,10287,1,10596,0,0,10285,0,10285,10287,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+16.p,1,10535,10536,11433,35157,0,10226,1,10535,0,0,10224,0,10224,10226,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+18.p,1,10648,10649,11545,35495,0,10339,1,10648,0,0,10337,0,10337,10339,0.000193,0.999807,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+2.p,1,10633,10634,11528,35440,0,10324,1,10633,0,0,10322,0,10322,10324,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+20.p,1,10745,10746,11644,35811,0,10436,1,10745,0,0,10434,0,10434,10436,0.000192,0.999808,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+22.p,1,10582,10583,11480,35303,0,10273,1,10582,0,0,10271,0,10271,10273,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+23.p,1,10564,10565,11462,35256,0,10255,1,10564,0,0,10253,0,10253,10255,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+26.p,1,10611,10612,11509,35393,0,10302,1,10611,0,0,10300,0,10300,10302,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+27.p,1,10614,10615,11512,35399,0,10305,1,10614,0,0,10303,0,10303,10305,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+29.p,1,10476,10477,11371,34969,0,10167,1,10476,0,0,10165,0,10165,10167,0.000197,0.999803,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+3.p,1,10585,10586,11483,35320,0,10276,1,10585,0,0,10274,0,10274,10276,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+31.p,1,10629,10630,11527,35444,0,10320,1,10629,0,0,10318,0,10318,10320,0.000194,0.999806,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+32.p,1,10473,10474,11371,34970,0,10164,1,10473,0,0,10162,0,10162,10164,0.000197,0.999803,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+34.p,1,10537,10538,11435,35170,0,10228,1,10537,0,0,10226,0,10226,10228,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+35.p,1,10537,10538,11438,35179,0,10228,1,10537,0,0,10226,0,10226,10228,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+37.p,1,10543,10544,11444,35188,0,10234,1,10543,0,0,10232,0,10232,10234,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+38.p,1,10656,10657,11554,35529,0,10347,1,10656,0,0,10345,0,10345,10347,0.000193,0.999807,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+41.p,1,10558,10559,11456,35227,0,10249,1,10558,0,0,10247,0,10247,10249,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+42.p,1,10524,10525,11422,35129,0,10215,1,10524,0,0,10213,0,10213,10215,0.000196,0.999804,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+43.p,1,10569,10570,11466,35255,0,10260,1,10569,0,0,10258,0,10258,10260,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
CSR115+46.p,1,10541,10542,11439,35173,0,10232,1,10541,0,0,10230,0,10230,10232,0.000195,0.999805,5,2,186,5,1,H,H,N,S,N,3,2,L,M
